component_id,name_ja,category,typical_location,detection_dom_hints,detection_text_hints,page_types_common,variants,a11y_notes,notes
search.site,サイト内検索,search,header,"form[role='search'] input[type='search'], .site-search",検索,top|hub|article,header|fullpage,label/placeholderの併用、キーボード操作,
search.faceted,絞り込み検索（フィルタ）,search,hub,"select[name*='category'], .filter, .facet","絞り込み, 条件",hub|service,chips|selects,操作可能で、無JSでも読める,
notice.emergency_banner,緊急情報バナー,notice,top,".emergency, .alert, [aria-label*='緊急']","緊急, 重要, 警報",top|hub|article,banner|ticker|modal,常時role=alert乱用しない。必要時のみ。,
notice.covid,感染症等の特設,notice,top,".covid, .special","新型コロナ, 感染症",top|hub,banner|hub,緊急枠と統合される場合あり,
notice.weather_disaster,気象・防災導線,notice,top,".disaster, .bousai, .saigai","防災, 災害, 避難",top|hub,portal_link|banner,優先度の高い導線,
content.hero,ヒーロー/メインビジュアル,content,top,".hero, .main-visual, .mv",ピックアップ,top,image|video|simple,代替テキスト/コントラスト,
content.carousel,カルーセル/スライダー,content,top,".swiper, .slider, .carousel",,top,auto|manual,自動回転は停止操作、キーボード操作,
content.pickup,ピックアップ枠,content,top,".pickup, .featured","ピックアップ, 注目",top|hub,cards|list,見出しと関連,
content.news_list,お知らせ一覧,content,top,".news, .news-list, ul li a[href*='news']","お知らせ, 新着",top|hub,list|cards,日付はtime要素,
content.events,イベント情報一覧,content,top,".event, .events","イベント, 催し",top|hub,calendar|list,期限情報が重要,
content.quick_tasks,よく使う手続き（ショートカット）,content,top,".quick, .shortcut, .popular","よく使う, 人気, 手続き",top|hub,icon_grid|list,視認性と読み上げ順,
content.hub_cards,カテゴリ導線カード群,content,hub,".card, .tile, .grid a","子育て, 防災, くらし",top|hub,icon|image|text,カード全体リンク時のフォーカス順,
content.pdf_links,PDF/様式リンク,content,service,"a[href$='.pdf'], .attachments a","PDF, 様式",service|article,pdf|doc|xls,形式/サイズ表示、要点HTML併記推奨,
content.related_links,関連リンク束,content,service,".related, .links","関連, あわせて",service|article|hub,list|cards,リンクテキスト明確,
content.faq,FAQ,content,service,".faq, details, .accordion",よくある質問,service|contact,accordion|list,アコーディオンのaria属性,
content.revision_history,更新履歴,content,service,".history, .revision","改訂履歴, 更新履歴",service|article,list|table,更新理由が簡潔だと良い,
content.department_badge,担当課/部署情報,content,service,".dept, .section, .contact-dept",担当課,service|article,inline|box,問い合わせ先と整合,
contact.info_block,問い合わせ先ブロック（電話/住所/時間）,forms,contact,".contact, .tel, a[href^='tel:']","電話, 所在地, 開庁時間",contact|service,box|table,telリンク、読み上げ順,
contact.form,問い合わせフォーム,forms,contact,"form input, form textarea",お問い合わせ,contact,simple|multi_step|external,必須表記/エラー/同意,
contact.department_list,担当課一覧,forms,contact,".department, .section-list, table","担当課, 課一覧",contact,table|list,表ならthead/th,
article.meta,記事メタ情報（公開日/更新日/カテゴリ等）,article,article,"time, .updated, .category, .tag","公開日, 更新日",article|service,default,time要素、公開/更新の区別,
article.print,印刷ボタン,article,article,"button[onclick*='print'], .print",印刷,article|service,button|link,キーボード操作可能,
article.share,SNSシェア,article,article,".share, a[href*='twitter'], a[href*='facebook']",シェア,article,icons|text,アイコンのみ禁止（ラベル付与）,
article.feedback,ページ評価（役に立ちましたか）,article,article,".feedback, .useful",役に立ちましたか,article|service,yesno|stars,フォーム要素のラベル・結果表示,
utility.accessibility_statement,アクセシビリティ方針/結果ページ,utility,footer,"a[href*='accessibility'], a[href*='a11y'], footer a[href*='web-accessibility']",アクセシビリティ,all,statement|result,目標/試験/結果の公開が望ましい,
utility.privacy,個人情報保護方針,utility,footer,"a[href*='privacy'], a[href*='kojinjouhou'], a[href*='personal']",個人情報,all,page,わかりやすい導線,
utility.cookie_consent,Cookie同意,utility,overlay,".cookie, [aria-label*='cookie']",cookie,top|article,banner|modal,フォーカストラップ/拒否導線,
utility.chatbot,チャットボット,utility,overlay,".chat, iframe[src*='chat']",チャット,top|service|contact,widget,キーボード・閉じる操作,
utility.open_data,オープンデータ導線,utility,footer,"a[href*='opendata'], a[href*='open-data'], a[href*='od_top']",オープンデータ,top|footer,page,別サイトの場合も多い,
utility.social_links,SNSリンク群,utility,footer,".sns, a[href*='twitter'], a[href*='instagram']",SNS,top|footer,icons|text,ラベル付与,
